Year,Industry,Industry_GDP,Industry_GDP_Share,Industry_GDP_Growth,Industry_Growth_Contribution,Growth_Volatility,Industry_Rank_BEA,Industry_Employment,Employment_Growth,Industry_Employment_Share,Top3_Employment_Share,Industry_Rank_BLS,GDP_per_Worker,Employment_vs_Growth_Alignment
2010-01-01,Construction,3.68,5.0,3.1,0.15,13.2,8,32791,-3.8,4.6,56.0,7,112296,-0.57
2010-01-01,Finance and Insurance,2.73,3.7,-7.5,-0.3,4.4,10,19166,-3.1,2.69,56.0,10,142251,0.92
2010-01-01,Government,12.77,17.4,-0.5,-0.1,1.4,2,153616,2.4,21.55,56.0,1,83100,-0.24
2010-01-01,Health Care and Social Assistance,6.81,9.3,-0.3,-0.03,2.3,6,110883,1.5,15.56,56.0,3,61456,-0.04
2010-01-01,Information,1.37,1.9,8.2,0.14,6.0,12,10308,-1.2,1.45,56.0,11,132683,-0.17
2010-01-01,Leisure and Hospitality,2.93,4.0,6.0,0.23,7.2,9,72091,0.3,10.11,56.0,4,40613,0.07
2010-01-01,Manufacturing,7.11,9.7,-6.2,-0.64,4.9,5,49183,-2.7,6.9,56.0,6,144462,1.73
2010-01-01,Mining and Logging,7.55,10.3,-1.4,-0.15,6.5,4,30083,0.9,4.22,56.0,8,250932,-0.13
2010-01-01,Other Services,1.69,2.3,-0.5,-0.01,4.1,11,25058,-0.9,3.52,56.0,9,67283,0.01
2010-01-01,Private Educational Services,0.46,0.6,5.3,0.03,5.0,13,6966,2.7,0.98,56.0,13,65561,0.08
2010-01-01,Professional and Business Services,4.99,6.8,0.6,0.04,5.7,7,61091,1.4,8.57,56.0,5,81733,0.06
2010-01-01,Real Estate and Rental and Leasing,8.47,11.5,9.6,1.03,4.0,3,6991,-0.5,0.98,56.0,12,1212144,-0.48
2010-01-01,"Trade, Transportation, and Utilities",12.87,17.5,5.5,0.92,3.0,1,134583,-0.9,18.88,56.0,2,95643,-0.84
2011-01-01,Construction,3.75,5.0,1.8,0.09,13.2,8,33000,0.6,4.58,55.6,8,113551,0.06
2011-01-01,Finance and Insurance,2.85,3.8,4.6,0.17,4.4,10,18600,-3.0,2.58,55.6,10,153354,-0.5
2011-01-01,Government,12.76,17.1,-0.0,-0.01,1.4,2,151658,-1.3,21.06,55.6,1,84136,0.01
2011-01-01,Health Care and Social Assistance,6.97,9.3,2.2,0.21,2.3,6,113275,2.2,15.73,55.6,3,61495,0.45
2011-01-01,Information,1.41,1.9,3.0,0.06,6.0,12,10175,-1.3,1.41,55.6,11,138486,-0.08
2011-01-01,Leisure and Hospitality,3.1,4.1,5.8,0.23,7.2,9,72850,1.0,10.12,55.6,4,42505,0.24
2011-01-01,Manufacturing,7.18,9.6,1.0,0.1,4.9,5,49508,0.7,6.87,55.6,6,144936,0.07
2011-01-01,Mining and Logging,7.88,10.5,4.4,0.45,6.5,4,33666,11.9,4.67,55.6,7,234075,5.36
2011-01-01,Other Services,1.65,2.2,-2.3,-0.05,4.1,11,25016,-0.2,3.47,55.6,9,65821,0.01
2011-01-01,Private Educational Services,0.47,0.6,3.1,0.02,5.0,13,6858,-1.6,0.95,55.6,12,68649,-0.03
2011-01-01,Professional and Business Services,5.3,7.1,6.2,0.42,5.7,7,63541,4.0,8.82,55.6,5,83451,1.68
2011-01-01,Real Estate and Rental and Leasing,8.45,11.3,-0.3,-0.04,4.0,3,6691,-4.3,0.93,55.6,13,1262277,0.17
2011-01-01,"Trade, Transportation, and Utilities",12.99,17.4,0.9,0.16,3.0,1,135316,0.5,18.79,55.6,2,96018,0.09
2012-01-01,Construction,4.27,5.7,13.9,0.7,13.2,8,35591,7.8,4.88,55.5,7,119957,5.49
2012-01-01,Finance and Insurance,2.77,3.7,-2.8,-0.11,4.4,10,18241,-1.9,2.5,55.5,10,151926,0.21
2012-01-01,Government,12.88,17.2,0.9,0.15,1.4,2,153741,1.4,21.09,55.5,1,83744,0.21
2012-01-01,Health Care and Social Assistance,7.17,9.6,3.0,0.28,2.3,4,115633,2.1,15.86,55.5,3,62042,0.58
2012-01-01,Information,1.35,1.8,-3.9,-0.07,6.0,12,9575,-5.9,1.31,55.5,11,141451,0.41
2012-01-01,Leisure and Hospitality,3.19,4.3,3.0,0.13,7.2,9,74283,2.0,10.19,55.5,4,42946,0.26
2012-01-01,Manufacturing,7.1,9.5,-1.0,-0.1,4.9,5,49175,-0.7,6.75,55.5,6,144471,0.07
2012-01-01,Mining and Logging,6.98,9.3,-11.5,-1.21,6.5,6,33533,-0.4,4.6,55.5,8,208060,0.48
2012-01-01,Other Services,1.64,2.2,-0.6,-0.01,4.1,11,25275,1.0,3.47,55.5,9,64724,-0.01
2012-01-01,Private Educational Services,0.48,0.6,1.4,0.01,5.0,13,7100,3.5,0.97,55.5,12,67239,0.04
2012-01-01,Professional and Business Services,5.42,7.2,2.2,0.15,5.7,7,64633,1.7,8.87,55.5,5,83811,0.26
2012-01-01,Real Estate and Rental and Leasing,8.53,11.4,1.0,0.11,4.0,3,6700,0.1,0.92,55.5,13,1273268,0.01
2012-01-01,"Trade, Transportation, and Utilities",13.04,17.4,0.4,0.06,3.0,1,135508,0.1,18.59,55.5,2,96215,0.01
2013-01-01,Construction,4.05,5.4,-5.1,-0.29,13.2,8,34358,-3.5,4.73,55.9,7,117879,1.01
2013-01-01,Finance and Insurance,2.64,3.5,-4.6,-0.17,4.4,10,18033,-1.1,2.48,55.9,10,146548,0.19
2013-01-01,Government,12.59,16.8,-2.2,-0.38,1.4,2,153716,-0.0,21.17,55.9,1,81921,0.01
2013-01-01,Health Care and Social Assistance,7.31,9.7,1.9,0.18,2.3,5,116341,0.6,16.02,55.9,3,62842,0.11
2013-01-01,Information,1.38,1.8,2.2,0.04,6.0,12,9608,0.4,1.32,55.9,11,144005,0.01
2013-01-01,Leisure and Hospitality,3.22,4.3,0.8,0.04,7.2,9,74633,0.5,10.28,55.9,4,43109,0.02
2013-01-01,Manufacturing,7.53,10.0,6.0,0.57,4.9,4,48450,-1.5,6.67,55.9,6,155422,-0.84
2013-01-01,Mining and Logging,7.24,9.6,3.8,0.35,6.5,6,31733,-5.4,4.37,55.9,8,228222,-1.88
2013-01-01,Other Services,1.62,2.2,-1.1,-0.02,4.1,11,25425,0.6,3.5,55.9,9,63646,-0.01
2013-01-01,Private Educational Services,0.45,0.6,-5.5,-0.04,5.0,13,6783,-4.5,0.93,55.9,12,66519,0.18
2013-01-01,Professional and Business Services,5.43,7.2,0.3,0.02,5.7,7,64816,0.3,8.93,55.9,5,83845,0.01
2013-01-01,Real Estate and Rental and Leasing,8.64,11.5,1.3,0.15,4.0,3,6650,-0.8,0.92,55.9,13,1299308,-0.11
2013-01-01,"Trade, Transportation, and Utilities",13.07,17.4,0.3,0.05,3.0,1,135641,0.1,18.68,55.9,2,96382,0.01
2014-01-01,Construction,3.86,5.2,-4.8,-0.26,13.2,8,33775,-1.7,4.66,55.8,7,114205,0.44
2014-01-01,Finance and Insurance,2.82,3.8,6.6,0.23,4.4,10,17675,-2.0,2.44,55.8,10,159349,-0.46
2014-01-01,Government,12.2,16.4,-3.1,-0.52,1.4,2,152600,-0.7,21.08,55.8,1,79974,0.38
2014-01-01,Health Care and Social Assistance,7.34,9.8,0.4,0.04,2.3,5,116358,0.0,16.07,55.8,3,63071,0.0
2014-01-01,Information,1.41,1.9,1.7,0.03,6.0,12,9608,0.0,1.33,55.8,11,146450,0.0
2014-01-01,Leisure and Hospitality,3.16,4.2,-1.8,-0.08,7.2,9,74300,-0.4,10.26,55.8,4,42524,0.04
2014-01-01,Manufacturing,7.16,9.6,-4.9,-0.49,4.9,6,47941,-1.0,6.62,55.8,6,149435,0.51
2014-01-01,Mining and Logging,7.44,10.0,2.7,0.26,6.5,4,30141,-5.0,4.16,55.8,8,246673,-1.31
2014-01-01,Other Services,1.61,2.2,-0.6,-0.01,4.1,11,25266,-0.6,3.49,55.8,9,63678,0.01
2014-01-01,Private Educational Services,0.43,0.6,-4.4,-0.03,5.0,13,7266,7.1,1.0,55.8,12,59372,-0.21
2014-01-01,Professional and Business Services,5.57,7.5,2.5,0.18,5.7,7,66908,3.2,9.24,55.8,5,83253,0.58
2014-01-01,Real Estate and Rental and Leasing,8.66,11.6,0.2,0.02,4.0,3,6858,3.1,0.95,55.8,13,1262321,0.06
2014-01-01,"Trade, Transportation, and Utilities",12.95,17.4,-0.9,-0.16,3.0,1,135316,-0.2,18.69,55.8,2,95701,0.04
2015-01-01,Construction,3.65,4.9,-5.4,-0.28,13.2,8,32475,-3.8,4.5,56.3,7,112421,1.08
2015-01-01,Finance and Insurance,2.86,3.8,1.6,0.06,4.4,10,17416,-1.5,2.42,56.3,10,164302,-0.09
2015-01-01,Government,12.06,16.2,-1.2,-0.2,1.4,2,153375,0.5,21.28,56.3,1,78609,-0.1
2015-01-01,Health Care and Social Assistance,7.63,10.3,4.0,0.39,2.3,4,117250,0.8,16.26,56.3,3,65075,0.3
2015-01-01,Information,1.55,2.1,9.9,0.19,6.0,12,9683,0.8,1.34,56.3,11,159733,0.15
2015-01-01,Leisure and Hospitality,3.14,4.2,-0.7,-0.03,7.2,9,74575,0.4,10.34,56.3,4,42066,-0.01
2015-01-01,Manufacturing,6.81,9.2,-4.9,-0.47,4.9,6,47716,-0.5,6.62,56.3,6,142813,0.22
2015-01-01,Mining and Logging,7.41,10.0,-0.4,-0.04,6.5,5,25958,-13.9,3.6,56.3,8,285307,0.56
2015-01-01,Other Services,1.58,2.1,-1.9,-0.04,4.1,11,24908,-1.4,3.46,56.3,9,63393,0.06
2015-01-01,Private Educational Services,0.43,0.6,0.5,0.0,5.0,13,8350,14.9,1.16,56.3,12,51928,0.0
2015-01-01,Professional and Business Services,5.51,7.4,-1.2,-0.09,5.7,7,67066,0.2,9.3,56.3,5,82102,-0.02
2015-01-01,Real Estate and Rental and Leasing,8.48,11.4,-2.1,-0.24,4.0,3,6816,-0.6,0.95,56.3,13,1243647,0.15
2015-01-01,"Trade, Transportation, and Utilities",13.17,17.7,1.7,0.29,3.0,1,135308,-0.0,18.77,56.3,2,97321,-0.0
2016-01-01,Construction,3.24,4.4,-11.2,-0.55,13.2,8,30050,-7.5,4.22,57.3,7,107946,4.11
2016-01-01,Finance and Insurance,2.8,3.8,-2.0,-0.08,4.4,10,17191,-1.3,2.42,57.3,10,163114,0.1
2016-01-01,Government,11.82,16.1,-1.9,-0.31,1.4,2,156383,2.0,21.97,57.3,1,75609,-0.61
2016-01-01,Health Care and Social Assistance,7.75,10.5,1.5,0.16,2.3,4,118025,0.7,16.58,57.3,3,65636,0.11
2016-01-01,Information,1.57,2.1,1.7,0.04,6.0,11,9533,-1.6,1.34,57.3,11,165005,-0.06
2016-01-01,Leisure and Hospitality,2.92,4.0,-7.0,-0.3,7.2,9,74391,-0.2,10.45,57.3,4,39203,0.08
2016-01-01,Manufacturing,7.01,9.5,2.8,0.26,4.9,5,46925,-1.7,6.59,57.3,6,149351,-0.43
2016-01-01,Mining and Logging,6.93,9.4,-6.5,-0.65,6.5,6,20350,-21.6,2.86,57.3,9,340334,14.05
2016-01-01,Other Services,1.54,2.1,-2.5,-0.05,4.1,12,24533,-1.5,3.45,57.3,8,62731,0.08
2016-01-01,Private Educational Services,0.44,0.6,2.4,0.01,5.0,13,8291,-0.7,1.17,57.3,12,53527,-0.01
2016-01-01,Professional and Business Services,5.45,7.4,-1.0,-0.07,5.7,7,65733,-2.0,9.24,57.3,5,82965,0.14
2016-01-01,Real Estate and Rental and Leasing,8.62,11.7,1.7,0.19,4.0,3,6616,-2.9,0.93,57.3,13,1302796,-0.56
2016-01-01,"Trade, Transportation, and Utilities",13.41,18.2,1.8,0.32,3.0,1,133625,-1.2,18.78,57.3,2,100336,-0.4
2017-01-01,Construction,3.45,4.6,6.5,0.29,13.2,8,31508,4.8,4.44,56.8,7,109635,1.41
2017-01-01,Finance and Insurance,2.7,3.6,-3.7,-0.14,4.4,10,16950,-1.4,2.39,56.8,10,159321,0.2
2017-01-01,Government,11.83,15.7,0.1,0.01,1.4,2,153583,-1.8,21.63,56.8,1,77055,-0.02
2017-01-01,Health Care and Social Assistance,7.95,10.6,2.6,0.28,2.3,3,118791,0.6,16.73,56.8,3,66940,0.18
2017-01-01,Information,1.43,1.9,-9.0,-0.19,6.0,12,8658,-9.2,1.22,56.8,12,165246,1.74
2017-01-01,Leisure and Hospitality,2.88,3.8,-1.3,-0.05,7.2,9,74291,-0.1,10.46,56.8,4,38761,0.01
2017-01-01,Manufacturing,7.53,10.0,7.5,0.71,4.9,6,46775,-0.3,6.59,56.8,6,161051,-0.23
2017-01-01,Mining and Logging,7.84,10.4,13.2,1.24,6.5,5,21816,7.2,3.07,56.8,9,359245,8.94
2017-01-01,Other Services,1.56,2.1,1.1,0.02,4.1,11,24566,0.1,3.46,56.8,8,63351,0.0
2017-01-01,Private Educational Services,0.43,0.6,-2.8,-0.02,5.0,13,8741,5.4,1.23,56.8,11,49365,-0.11
2017-01-01,Professional and Business Services,5.95,7.9,9.0,0.67,5.7,7,66783,1.6,9.4,56.8,5,89021,1.07
2017-01-01,Real Estate and Rental and Leasing,7.93,10.6,-8.0,-0.93,4.0,4,6458,-2.4,0.91,56.8,13,1228336,2.22
2017-01-01,"Trade, Transportation, and Utilities",13.68,18.2,2.1,0.38,3.0,1,131208,-1.8,18.48,56.8,2,104300,-0.69
2018-01-01,Construction,4.77,6.2,38.0,1.75,13.2,8,40100,27.3,5.57,55.8,7,118875,47.72
2018-01-01,Finance and Insurance,2.78,3.6,2.8,0.1,4.4,10,17241,1.7,2.39,55.8,10,160970,0.17
2018-01-01,Government,11.83,15.3,-0.0,-0.0,1.4,2,152625,-0.6,21.19,55.8,1,77522,0.0
2018-01-01,Health Care and Social Assistance,8.1,10.5,1.9,0.2,2.3,4,119366,0.5,16.57,55.8,3,67865,0.1
2018-01-01,Information,1.43,1.8,-0.1,-0.0,6.0,12,8225,-5.0,1.14,55.8,12,173775,0.0
2018-01-01,Leisure and Hospitality,2.87,3.7,-0.3,-0.01,7.2,9,74241,-0.1,10.31,55.8,4,38676,0.0
2018-01-01,Manufacturing,7.77,10.0,3.1,0.31,4.9,6,47050,0.6,6.53,55.8,6,165088,0.18
2018-01-01,Mining and Logging,7.77,10.0,-0.8,-0.09,6.5,5,22600,3.6,3.14,55.8,9,343840,-0.32
2018-01-01,Other Services,1.61,2.1,3.3,0.07,4.1,11,24408,-0.6,3.39,55.8,8,65847,-0.04
2018-01-01,Private Educational Services,0.42,0.5,-2.3,-0.01,5.0,13,8783,0.5,1.22,55.8,11,47979,-0.0
2018-01-01,Professional and Business Services,6.45,8.3,8.6,0.68,5.7,7,68941,3.2,9.57,55.8,5,93629,2.2
2018-01-01,Real Estate and Rental and Leasing,8.11,10.5,2.2,0.23,4.0,3,6591,2.1,0.91,55.8,13,1230223,0.48
2018-01-01,"Trade, Transportation, and Utilities",13.57,17.5,-0.9,-0.16,3.0,1,130233,-0.7,18.08,55.8,2,104160,0.12
2019-01-01,Construction,3.81,4.9,-20.1,-1.24,13.2,8,35425,-11.7,4.95,56.1,7,107497,14.46
2019-01-01,Finance and Insurance,2.76,3.6,-0.7,-0.03,4.4,10,17266,0.1,2.41,56.1,10,159620,-0.0
2019-01-01,Government,12.04,15.6,1.8,0.27,1.4,2,152508,-0.1,21.31,56.1,1,78963,-0.02
2019-01-01,Health Care and Social Assistance,8.39,10.9,3.5,0.37,2.3,4,121433,1.7,16.97,56.1,3,69052,0.64
2019-01-01,Information,1.52,2.0,6.2,0.11,6.0,12,8066,-1.9,1.13,56.1,12,188209,-0.21
2019-01-01,Leisure and Hospitality,2.9,3.8,1.1,0.04,7.2,9,75091,1.1,10.49,56.1,4,38647,0.05
2019-01-01,Manufacturing,7.14,9.2,-8.1,-0.82,4.9,6,47158,0.2,6.59,56.1,6,151302,-0.19
2019-01-01,Mining and Logging,8.71,11.3,12.1,1.21,6.5,3,22275,-1.4,3.11,56.1,9,391084,-1.74
2019-01-01,Other Services,1.59,2.1,-0.8,-0.02,4.1,11,24358,-0.2,3.4,56.1,8,65456,0.0
2019-01-01,Private Educational Services,0.43,0.6,1.9,0.01,5.0,13,8908,1.4,1.24,56.1,11,48203,0.01
2019-01-01,Professional and Business Services,6.3,8.2,-2.4,-0.2,5.7,7,69233,0.4,9.67,56.1,5,90985,-0.08
2019-01-01,Real Estate and Rental and Leasing,8.16,10.6,0.7,0.07,4.0,5,6683,1.4,0.93,56.1,13,1221756,0.1
2019-01-01,"Trade, Transportation, and Utilities",13.46,17.4,-0.8,-0.14,3.0,1,127325,-2.2,17.79,56.1,2,105686,0.31
2020-01-01,Construction,3.0,4.0,-21.1,-1.04,13.2,8,29725,-16.1,4.45,58.1,7,101069,16.73
2020-01-01,Finance and Insurance,2.7,3.6,-2.1,-0.08,4.4,9,17366,0.6,2.6,58.1,10,155303,-0.05
2020-01-01,Government,12.16,16.1,1.0,0.15,1.4,2,148141,-2.9,22.17,58.1,1,82063,-0.43
2020-01-01,Health Care and Social Assistance,8.24,10.9,-1.7,-0.18,2.3,5,119841,-1.3,17.93,58.1,3,68797,0.24
2020-01-01,Information,1.48,2.0,-2.8,-0.05,6.0,11,7208,-10.6,1.08,58.1,12,204786,0.53
2020-01-01,Leisure and Hospitality,2.3,3.1,-20.7,-0.78,7.2,10,61441,-18.2,9.19,58.1,5,37476,14.18
2020-01-01,Manufacturing,7.23,9.6,1.3,0.12,4.9,6,44591,-5.4,6.67,58.1,6,162032,-0.65
2020-01-01,Mining and Logging,9.39,12.5,7.8,0.88,6.5,3,17566,-21.1,2.63,58.1,9,534566,-18.6
2020-01-01,Other Services,1.41,1.9,-11.8,-0.24,4.1,12,22116,-9.2,3.31,58.1,8,63587,2.21
2020-01-01,Private Educational Services,0.38,0.5,-11.9,-0.07,5.0,13,7858,-11.8,1.18,58.1,11,48142,0.83
2020-01-01,Professional and Business Services,5.62,7.5,-10.8,-0.88,5.7,7,65766,-5.0,9.84,58.1,4,85445,4.41
2020-01-01,Real Estate and Rental and Leasing,8.27,11.0,1.3,0.13,4.0,4,6366,-4.7,0.95,58.1,13,1298743,-0.62
2020-01-01,"Trade, Transportation, and Utilities",13.19,17.5,-2.0,-0.35,3.0,1,120341,-5.5,18.01,58.1,2,109581,1.92
2021-01-01,Construction,2.99,3.9,-0.4,-0.02,13.2,8,30816,3.7,4.52,57.3,7,97059,-0.07
2021-01-01,Finance and Insurance,2.8,3.6,3.8,0.13,4.4,9,18150,4.5,2.66,57.3,9,154165,0.59
2021-01-01,Government,12.35,16.1,1.6,0.25,1.4,2,147000,-0.8,21.58,57.3,1,83994,-0.19
2021-01-01,Health Care and Social Assistance,8.46,11.0,2.6,0.29,2.3,4,120375,0.4,17.67,57.3,3,70289,0.13
2021-01-01,Information,1.69,2.2,14.2,0.28,6.0,11,7208,0.0,1.06,57.3,11,233948,0.0
2021-01-01,Leisure and Hospitality,2.71,3.5,17.7,0.54,7.2,10,67258,9.5,9.87,57.3,5,40291,5.11
2021-01-01,Manufacturing,7.42,9.6,2.7,0.26,4.9,6,45416,1.8,6.67,57.3,6,163356,0.48
2021-01-01,Mining and Logging,9.5,12.4,1.2,0.15,6.5,3,17758,1.1,2.61,57.3,10,534981,0.16
2021-01-01,Other Services,1.46,1.9,3.9,0.07,4.1,12,22991,4.0,3.37,57.3,8,63546,0.28
2021-01-01,Private Educational Services,0.38,0.5,0.7,0.0,5.0,13,6716,-14.5,0.99,57.3,12,56700,-0.0
2021-01-01,Professional and Business Services,6.2,8.1,10.4,0.77,5.7,7,68250,3.8,10.02,57.3,4,90865,2.91
2021-01-01,Real Estate and Rental and Leasing,8.13,10.6,-1.6,-0.18,4.0,5,6450,1.3,0.95,57.3,13,1260635,-0.24
2021-01-01,"Trade, Transportation, and Utilities",12.76,16.6,-3.3,-0.57,3.0,1,122866,2.1,18.04,57.3,2,103822,-1.2
2022-01-01,Construction,2.63,3.4,-12.2,-0.47,13.2,10,31766,3.1,4.55,56.5,7,82714,-1.45
2022-01-01,Finance and Insurance,2.85,3.6,1.9,0.07,4.4,8,18716,3.1,2.68,56.5,10,152399,0.22
2022-01-01,Government,12.25,15.6,-0.8,-0.12,1.4,2,150591,2.4,21.56,56.5,1,81368,-0.29
2022-01-01,Health Care and Social Assistance,8.79,11.2,3.9,0.43,2.3,4,121625,1.0,17.41,56.5,3,72290,0.45
2022-01-01,Information,1.88,2.4,11.4,0.25,6.0,11,7841,8.8,1.12,56.5,11,239612,2.2
2022-01-01,Leisure and Hospitality,2.71,3.4,-0.0,-0.0,7.2,9,70116,4.2,10.04,56.5,5,38647,-0.0
2022-01-01,Manufacturing,7.07,9.0,-4.7,-0.46,4.9,6,46283,1.9,6.63,56.5,6,152723,-0.88
2022-01-01,Mining and Logging,10.72,13.6,12.8,1.58,6.5,3,19950,12.3,2.86,56.5,9,537147,19.5
2022-01-01,Other Services,1.56,2.0,6.5,0.12,4.1,12,23850,3.7,3.41,56.5,8,65232,0.45
2022-01-01,Private Educational Services,0.4,0.5,4.0,0.02,5.0,13,6716,0.0,0.96,56.5,12,58963,0.0
2022-01-01,Professional and Business Services,6.87,8.8,10.8,0.88,5.7,7,72116,5.7,10.32,56.5,4,95325,4.99
2022-01-01,Real Estate and Rental and Leasing,8.46,10.8,4.1,0.43,4.0,5,6641,3.0,0.95,56.5,13,1274070,1.28
2022-01-01,"Trade, Transportation, and Utilities",12.32,15.7,-3.4,-0.56,3.0,1,122316,-0.4,17.51,56.5,2,100748,0.25
2023-01-01,Construction,2.78,3.4,5.8,0.19,13.2,9,33000,3.9,4.65,56.5,7,84254,0.74
2023-01-01,Finance and Insurance,3.0,3.7,5.2,0.19,4.4,8,18883,0.9,2.66,56.5,10,158825,0.17
2023-01-01,Government,12.19,15.0,-0.5,-0.08,1.4,2,150675,0.1,21.24,56.5,1,80890,-0.0
2023-01-01,Health Care and Social Assistance,9.36,11.5,6.5,0.73,2.3,4,127350,4.7,17.95,56.5,2,73531,3.44
2023-01-01,Information,1.96,2.4,4.2,0.1,6.0,11,7883,0.5,1.11,56.5,11,248395,0.05
2023-01-01,Leisure and Hospitality,2.73,3.4,0.6,0.02,7.2,10,71683,2.2,10.1,56.5,5,38048,0.04
2023-01-01,Manufacturing,6.96,8.6,-1.5,-0.14,4.9,7,46266,-0.0,6.52,56.5,6,150477,0.01
2023-01-01,Mining and Logging,11.13,13.7,3.9,0.53,6.5,3,21158,6.1,2.98,56.5,9,526065,3.21
2023-01-01,Other Services,1.49,1.8,-3.9,-0.08,4.1,12,23916,0.3,3.37,56.5,8,62489,-0.02
2023-01-01,Private Educational Services,0.4,0.5,0.9,0.0,5.0,13,6808,1.4,0.96,56.5,13,58710,0.0
2023-01-01,Professional and Business Services,7.14,8.8,3.9,0.34,5.7,6,72408,0.4,10.21,56.5,4,98636,0.14
2023-01-01,Real Estate and Rental and Leasing,8.95,11.0,5.7,0.62,4.0,5,6858,3.3,0.97,56.5,12,1304389,2.02
2023-01-01,"Trade, Transportation, and Utilities",13.03,16.1,5.8,0.91,3.0,1,122616,0.2,17.28,56.5,3,106296,0.23
2024-01-01,Construction,2.87,3.4,3.3,0.11,13.2,9,33816,2.5,4.71,56.9,7,84962,0.27
2024-01-01,Finance and Insurance,3.02,3.6,0.8,0.03,4.4,8,18858,-0.1,2.63,56.9,10,160298,-0.0
2024-01-01,Government,12.25,14.7,0.5,0.07,1.4,2,151108,0.3,21.06,56.9,1,81056,0.02
2024-01-01,Health Care and Social Assistance,9.96,11.9,6.4,0.74,2.3,4,133958,5.2,18.67,56.9,2,74388,3.84
2024-01-01,Information,2.04,2.4,4.2,0.1,6.0,11,7858,-0.3,1.1,56.9,11,259544,-0.03
2024-01-01,Leisure and Hospitality,2.7,3.2,-1.0,-0.03,7.2,10,71600,-0.1,9.98,56.9,5,37720,0.0
2024-01-01,Manufacturing,7.39,8.9,6.2,0.53,4.9,6,46141,-0.3,6.43,56.9,6,160217,-0.14
2024-01-01,Mining and Logging,11.39,13.6,2.3,0.32,6.5,3,21283,0.6,2.97,56.9,9,535009,0.19
2024-01-01,Other Services,1.44,1.7,-3.4,-0.06,4.1,12,24000,0.4,3.35,56.9,8,60170,-0.02
2024-01-01,Private Educational Services,0.44,0.5,9.9,0.05,5.0,13,7025,3.2,0.98,56.9,12,62533,0.16
2024-01-01,Professional and Business Services,7.17,8.6,0.4,0.03,5.7,7,71900,-0.7,10.02,56.9,4,99689,-0.02
2024-01-01,Real Estate and Rental and Leasing,8.96,10.7,0.2,0.02,4.0,5,6950,1.3,0.97,56.9,13,1289107,0.03
2024-01-01,"Trade, Transportation, and Utilities",13.8,16.5,5.9,0.94,3.0,1,122983,0.3,17.14,56.9,3,112209,0.28
