Filing Year,Industry,New Businesses,Closures,Net Growth,YoY % Change,Total New Biz,Industry Share,HHI,Cumulative Active Biz,Closure Rate,Business Churn Ratio,Total Net Growth,Growth Contribution,Industry Growth Rank
2010,Health Care and Social Assistance,254,26,228,11.89,9612,3.0,2021,649,4.0,10.0,6551,3.0,11
2010,Information,131,10,121,18.02,9612,1.0,2021,338,3.0,8.0,6551,2.0,12
2010,Leisure and Hospitality,359,49,310,32.47,9612,4.0,2021,809,6.0,14.0,6551,5.0,9
2010,Manufacturing,254,19,235,-2.31,9612,3.0,2021,756,3.0,7.0,6551,4.0,10
2010,Mining and Logging,362,22,340,7.42,9612,4.0,2021,964,2.0,6.0,6551,5.0,7
2010,Other Services,568,108,460,2.34,9612,6.0,2021,1388,8.0,19.0,6551,7.0,6
2010,Private Educational Services,111,11,100,29.07,9612,1.0,2021,262,4.0,10.0,6551,2.0,13
2010,Professional and Business Services,845,112,733,5.36,9612,9.0,2021,2224,5.0,13.0,6551,11.0,5
2010,Real Estate and Rental and Leasing,825,48,777,13.95,9612,9.0,2021,2291,2.0,6.0,6551,12.0,3
2010,"Trade, Transportation, and Utilities",887,113,774,11.29,9612,9.0,2021,2175,5.0,13.0,6551,12.0,4
2010,Unknown Industry,3841,2483,1358,-12.29,9612,40.0,2021,8948,28.0,65.0,6551,21.0,1
2011,Construction,895,89,806,8.09,10211,9.0,1891,2876,3.0,10.0,6804,12.0,5
2011,Finance and Insurance,328,14,314,0.31,10211,3.0,1891,1226,1.0,4.0,6804,5.0,8
2011,Government,29,2,27,45.0,10211,0.0,1891,86,2.0,7.0,6804,0.0,13
2011,Health Care and Social Assistance,253,29,224,-0.39,10211,2.0,1891,873,3.0,11.0,6804,3.0,10
2011,Information,149,9,140,13.74,10211,1.0,1891,478,2.0,6.0,6804,2.0,11
2011,Leisure and Hospitality,382,68,314,6.41,10211,4.0,1891,1123,6.0,18.0,6804,5.0,8
2011,Manufacturing,303,23,280,19.29,10211,3.0,1891,1036,2.0,8.0,6804,4.0,9
2011,Mining and Logging,347,22,325,-4.14,10211,3.0,1891,1289,2.0,6.0,6804,5.0,7
2011,Other Services,582,152,430,2.46,10211,6.0,1891,1818,8.0,26.0,6804,6.0,6
2011,Private Educational Services,124,17,107,11.71,10211,1.0,1891,369,5.0,14.0,6804,2.0,12
2011,Professional and Business Services,997,148,849,17.99,10211,10.0,1891,3073,5.0,15.0,6804,12.0,2
2011,Real Estate and Rental and Leasing,890,65,825,7.88,10211,9.0,1891,3116,2.0,7.0,6804,12.0,4
2011,"Trade, Transportation, and Utilities",1018,180,838,14.77,10211,10.0,1891,3013,6.0,18.0,6804,12.0,3
2011,Unknown Industry,3914,2589,1325,1.9,10211,38.0,1891,10273,25.0,66.0,6804,19.0,1
2012,Construction,890,135,755,-0.56,10825,8.0,1641,3631,4.0,15.0,6595,11.0,4
2012,Finance and Insurance,337,14,323,2.74,10825,3.0,1641,1549,1.0,4.0,6595,5.0,10
2012,Government,26,1,25,-10.34,10825,0.0,1641,111,1.0,4.0,6595,0.0,14
2012,Health Care and Social Assistance,321,45,276,26.88,10825,3.0,1641,1149,4.0,14.0,6595,4.0,11
2012,Information,193,12,181,29.53,10825,2.0,1641,659,2.0,6.0,6595,3.0,12
2012,Leisure and Hospitality,435,91,344,13.87,10825,4.0,1641,1467,6.0,21.0,6595,5.0,8
2012,Manufacturing,374,32,342,23.43,10825,3.0,1641,1378,2.0,9.0,6595,5.0,9
2012,Mining and Logging,454,33,421,30.84,10825,4.0,1641,1710,2.0,7.0,6595,6.0,7
2012,Other Services,668,197,471,14.78,10825,6.0,1641,2289,9.0,29.0,6595,7.0,6
2012,Private Educational Services,144,34,110,16.13,10825,1.0,1641,479,7.0,24.0,6595,2.0,13
2012,Professional and Business Services,1147,186,961,15.05,10825,11.0,1641,4034,5.0,16.0,6595,15.0,2
2012,Real Estate and Rental and Leasing,1073,81,992,20.56,10825,10.0,1641,4108,2.0,8.0,6595,15.0,1
2012,"Trade, Transportation, and Utilities",1109,247,862,8.94,10825,10.0,1641,3875,6.0,22.0,6595,13.0,3
2012,Unknown Industry,3654,3122,532,-6.64,10825,34.0,1641,10805,29.0,85.0,6595,8.0,5
2013,Construction,944,147,797,6.07,11356,8.0,1381,4428,3.0,16.0,6643,12.0,4
2013,Finance and Insurance,388,21,367,15.13,11356,3.0,1381,1916,1.0,5.0,6643,6.0,8
2013,Government,30,4,26,15.38,11356,0.0,1381,137,3.0,13.0,6643,0.0,13
2013,Health Care and Social Assistance,312,66,246,-2.8,11356,3.0,1381,1395,5.0,21.0,6643,4.0,10
2013,Information,222,18,204,15.03,11356,2.0,1381,863,2.0,8.0,6643,3.0,11
2013,Leisure and Hospitality,545,118,427,25.29,11356,5.0,1381,1894,6.0,22.0,6643,6.0,7
2013,Manufacturing,393,27,366,5.08,11356,3.0,1381,1744,2.0,7.0,6643,6.0,9
2013,Mining and Logging,555,43,512,22.25,11356,5.0,1381,2222,2.0,8.0,6643,8.0,6
2013,Other Services,794,194,600,18.86,11356,7.0,1381,2889,7.0,24.0,6643,9.0,5
2013,Private Educational Services,184,29,155,27.78,11356,2.0,1381,634,5.0,16.0,6643,2.0,12
2013,Professional and Business Services,1175,198,977,2.44,11356,10.0,1381,5011,4.0,17.0,6643,15.0,3
2013,Real Estate and Rental and Leasing,1233,94,1139,14.91,11356,11.0,1381,5247,2.0,8.0,6643,17.0,1
2013,"Trade, Transportation, and Utilities",1292,303,989,16.5,11356,11.0,1381,4864,6.0,23.0,6643,15.0,2
2013,Unknown Industry,3289,3451,-162,-9.99,11356,29.0,1381,10643,32.0,105.0,6643,-2.0,14
2014,Construction,973,158,815,3.07,11743,8.0,1182,5243,3.0,16.0,6606,12.0,4
2014,Finance and Insurance,433,31,402,11.6,11743,4.0,1182,2318,1.0,7.0,6606,6.0,8
2014,Government,33,0,33,10.0,11743,0.0,1182,170,0.0,0.0,6606,0.0,13
2014,Health Care and Social Assistance,388,50,338,24.36,11743,3.0,1182,1733,3.0,13.0,6606,5.0,10
2014,Information,259,28,231,16.67,11743,2.0,1182,1094,3.0,11.0,6606,3.0,11
2014,Leisure and Hospitality,606,147,459,11.19,11743,5.0,1182,2353,6.0,24.0,6606,7.0,7
2014,Manufacturing,429,52,377,9.16,11743,4.0,1182,2121,2.0,12.0,6606,6.0,9
2014,Mining and Logging,682,56,626,22.88,11743,6.0,1182,2848,2.0,8.0,6606,9.0,5
2014,Other Services,852,261,591,7.3,11743,7.0,1182,3480,8.0,31.0,6606,9.0,6
2014,Private Educational Services,151,50,101,-17.93,11743,1.0,1182,735,7.0,33.0,6606,2.0,12
2014,Professional and Business Services,1320,256,1064,12.34,11743,11.0,1182,6075,4.0,19.0,6606,16.0,3
2014,Real Estate and Rental and Leasing,1337,121,1216,8.43,11743,11.0,1182,6463,2.0,9.0,6606,18.0,1
2014,"Trade, Transportation, and Utilities",1439,356,1083,11.38,11743,12.0,1182,5947,6.0,25.0,6606,16.0,2
2014,Unknown Industry,2841,3571,-730,-13.62,11743,24.0,1182,9913,36.0,126.0,6606,-11.0,14
2015,Construction,967,310,657,-0.62,11404,8.0,1245,5900,5.0,32.0,4152,16.0,4
2015,Finance and Insurance,411,68,343,-5.08,11404,4.0,1245,2661,3.0,17.0,4152,8.0,8
2015,Government,33,6,27,0.0,11404,0.0,1245,197,3.0,18.0,4152,1.0,13
2015,Health Care and Social Assistance,370,102,268,-4.64,11404,3.0,1245,2001,5.0,28.0,4152,6.0,10
2015,Information,225,61,164,-13.13,11404,2.0,1245,1258,5.0,27.0,4152,4.0,11
2015,Leisure and Hospitality,573,206,367,-5.45,11404,5.0,1245,2720,8.0,36.0,4152,9.0,7
2015,Manufacturing,420,83,337,-2.1,11404,4.0,1245,2458,3.0,20.0,4152,8.0,9
2015,Mining and Logging,520,115,405,-23.75,11404,5.0,1245,3253,4.0,22.0,4152,10.0,6
2015,Other Services,840,422,418,-1.41,11404,7.0,1245,3898,11.0,50.0,4152,10.0,5
2015,Private Educational Services,153,55,98,1.32,11404,1.0,1245,833,7.0,36.0,4152,2.0,12
2015,Professional and Business Services,1307,420,887,-0.98,11404,11.0,1245,6962,6.0,32.0,4152,21.0,3
2015,Real Estate and Rental and Leasing,1303,244,1059,-2.54,11404,11.0,1245,7522,3.0,19.0,4152,26.0,1
2015,"Trade, Transportation, and Utilities",1479,564,915,2.78,11404,13.0,1245,6862,8.0,38.0,4152,22.0,2
2015,Unknown Industry,2803,4596,-1793,-1.34,11404,25.0,1245,8120,57.0,164.0,4152,-43.0,14
2016,Construction,1133,595,538,17.17,11887,10.0,1128,6438,9.0,53.0,4812,11.0,3
2016,Finance and Insurance,401,156,245,-2.43,11887,3.0,1128,2906,5.0,39.0,4812,5.0,8
2016,Government,39,17,22,18.18,11887,0.0,1128,219,8.0,44.0,4812,0.0,14
2016,Health Care and Social Assistance,367,166,201,-0.81,11887,3.0,1128,2202,8.0,45.0,4812,4.0,10
2016,Information,232,136,96,3.11,11887,2.0,1128,1354,10.0,59.0,4812,2.0,13
2016,Leisure and Hospitality,694,374,320,21.12,11887,6.0,1128,3040,12.0,54.0,4812,7.0,6
2016,Manufacturing,434,208,226,3.33,11887,4.0,1128,2684,8.0,48.0,4812,5.0,9
2016,Mining and Logging,573,318,255,10.19,11887,5.0,1128,3508,9.0,55.0,4812,5.0,7
2016,Other Services,956,556,400,13.81,11887,8.0,1128,4298,13.0,58.0,4812,8.0,5
2016,Private Educational Services,199,97,102,30.07,11887,2.0,1128,935,10.0,49.0,4812,2.0,12
2016,Professional and Business Services,1316,808,508,0.69,11887,11.0,1128,7470,11.0,61.0,4812,11.0,4
2016,Real Estate and Rental and Leasing,1434,426,1008,10.05,11887,12.0,1128,8530,5.0,30.0,4812,21.0,1
2016,"Trade, Transportation, and Utilities",1673,925,748,13.12,11887,14.0,1128,7610,12.0,55.0,4812,16.0,2
2016,Unknown Industry,2436,2293,143,-13.09,11887,20.0,1128,8263,28.0,94.0,4812,3.0,11
2017,Construction,1123,150,973,-0.88,11966,9.0,1196,7411,2.0,13.0,9603,10.0,5
2017,Finance and Insurance,376,101,275,-6.23,11966,3.0,1196,3181,3.0,27.0,9603,3.0,11
2017,Government,37,7,30,-5.13,11966,0.0,1196,249,3.0,19.0,9603,0.0,14
2017,Health Care and Social Assistance,415,80,335,13.08,11966,3.0,1196,2537,3.0,19.0,9603,3.0,10
2017,Information,209,54,155,-9.91,11966,2.0,1196,1509,4.0,26.0,9603,2.0,13
2017,Leisure and Hospitality,691,127,564,-0.43,11966,6.0,1196,3604,4.0,18.0,9603,6.0,7
2017,Manufacturing,414,59,355,-4.61,11966,3.0,1196,3039,2.0,14.0,9603,4.0,9
2017,Mining and Logging,528,92,436,-7.85,11966,4.0,1196,3944,2.0,17.0,9603,5.0,8
2017,Other Services,974,166,808,1.88,11966,8.0,1196,5106,3.0,17.0,9603,8.0,6
2017,Private Educational Services,179,23,156,-10.05,11966,1.0,1196,1091,2.0,13.0,9603,2.0,12
2017,Professional and Business Services,1319,277,1042,0.23,11966,11.0,1196,8512,3.0,21.0,9603,11.0,4
2017,Real Estate and Rental and Leasing,1316,242,1074,-8.23,11966,11.0,1196,9604,3.0,18.0,9603,11.0,3
2017,"Trade, Transportation, and Utilities",1635,347,1288,-2.27,11966,14.0,1196,8898,4.0,21.0,9603,13.0,2
2017,Unknown Industry,2750,638,2112,12.89,11966,23.0,1196,10375,6.0,23.0,9603,22.0,1
2018,Construction,1122,167,955,-0.09,12981,9.0,1291,8366,2.0,15.0,10228,9.0,5
2018,Finance and Insurance,439,108,331,16.76,12981,3.0,1291,3512,3.0,25.0,10228,3.0,10
2018,Government,44,9,35,18.92,12981,0.0,1291,284,3.0,20.0,10228,0.0,14
2018,Health Care and Social Assistance,400,86,314,-3.61,12981,3.0,1291,2851,3.0,22.0,10228,3.0,11
2018,Information,243,65,178,16.27,12981,2.0,1291,1687,4.0,27.0,10228,2.0,12
2018,Leisure and Hospitality,647,171,476,-6.37,12981,5.0,1291,4080,4.0,26.0,10228,5.0,7
2018,Manufacturing,434,94,340,4.83,12981,3.0,1291,3379,3.0,22.0,10228,3.0,9
2018,Mining and Logging,569,121,448,7.77,12981,4.0,1291,4392,3.0,21.0,10228,4.0,8
2018,Other Services,963,220,743,-1.13,12981,7.0,1291,5849,4.0,23.0,10228,7.0,6
2018,Private Educational Services,200,36,164,11.73,12981,2.0,1291,1255,3.0,18.0,10228,2.0,13
2018,Professional and Business Services,1400,360,1040,6.14,12981,11.0,1291,9552,4.0,26.0,10228,10.0,4
2018,Real Estate and Rental and Leasing,1510,291,1219,14.74,12981,12.0,1291,10823,3.0,19.0,10228,12.0,2
2018,"Trade, Transportation, and Utilities",1595,414,1181,-2.45,12981,12.0,1291,10079,4.0,26.0,10228,12.0,3
2018,Unknown Industry,3415,611,2804,24.18,12981,26.0,1291,13179,5.0,18.0,10228,27.0,1
2019,Construction,1181,181,1000,5.26,13194,9.0,1154,9366,2.0,15.0,10197,10.0,5
2019,Finance and Insurance,482,105,377,9.79,13194,4.0,1154,3889,3.0,22.0,10197,4.0,10
2019,Government,36,4,32,-18.18,13194,0.0,1154,316,1.0,11.0,10197,0.0,14
2019,Health Care and Social Assistance,418,78,340,4.5,13194,3.0,1154,3191,2.0,19.0,10197,3.0,11
2019,Information,290,73,217,19.34,13194,2.0,1154,1904,4.0,25.0,10197,2.0,12
2019,Leisure and Hospitality,704,130,574,8.81,13194,5.0,1154,4654,3.0,18.0,10197,6.0,7
2019,Manufacturing,543,100,443,25.12,13194,4.0,1154,3822,3.0,18.0,10197,4.0,9
2019,Mining and Logging,586,120,466,2.99,13194,4.0,1154,4858,2.0,20.0,10197,5.0,8
2019,Other Services,1147,210,937,19.11,13194,9.0,1154,6786,3.0,18.0,10197,9.0,6
2019,Private Educational Services,239,40,199,19.5,13194,2.0,1154,1454,3.0,17.0,10197,2.0,13
2019,Professional and Business Services,1445,382,1063,3.21,13194,11.0,1154,10615,4.0,26.0,10197,10.0,4
2019,Real Estate and Rental and Leasing,1555,278,1277,2.98,13194,12.0,1154,12100,2.0,18.0,10197,13.0,3
2019,"Trade, Transportation, and Utilities",1821,434,1387,14.17,13194,14.0,1154,11466,4.0,24.0,10197,14.0,2
2019,Unknown Industry,2747,862,1885,-19.56,13194,21.0,1154,15064,6.0,31.0,10197,18.0,1
2020,Construction,1285,703,582,8.81,13529,9.0,1126,9948,7.0,55.0,4392,13.0,4
2020,Finance and Insurance,499,189,310,3.53,13529,4.0,1126,4199,5.0,38.0,4392,7.0,6
2020,Government,26,20,6,-27.78,13529,0.0,1126,322,6.0,77.0,4392,0.0,13
2020,Health Care and Social Assistance,440,270,170,5.26,13529,3.0,1126,3361,8.0,61.0,4392,4.0,10
2020,Information,276,153,123,-4.83,13529,2.0,1126,2027,8.0,55.0,4392,3.0,11
2020,Leisure and Hospitality,732,508,224,3.98,13529,5.0,1126,4878,10.0,69.0,4392,5.0,8
2020,Manufacturing,472,216,256,-13.08,13529,3.0,1126,4078,5.0,46.0,4392,6.0,7
2020,Mining and Logging,562,377,185,-4.1,13529,4.0,1126,5043,7.0,67.0,4392,4.0,9
2020,Other Services,1252,724,528,9.15,13529,9.0,1126,7314,10.0,58.0,4392,12.0,5
2020,Private Educational Services,166,117,49,-30.54,13529,1.0,1126,1503,8.0,70.0,4392,1.0,12
2020,Professional and Business Services,1575,813,762,9.0,13529,12.0,1126,11377,7.0,52.0,4392,17.0,2
2020,Real Estate and Rental and Leasing,1622,578,1044,4.31,13529,12.0,1126,13144,4.0,36.0,4392,24.0,1
2020,"Trade, Transportation, and Utilities",1937,1302,635,6.37,13529,14.0,1126,12101,11.0,67.0,4392,14.0,3
2020,Unknown Industry,2685,3167,-482,-2.26,13529,20.0,1126,14582,22.0,118.0,4392,-11.0,14
2021,Construction,1456,632,824,13.31,16546,9.0,1207,10772,6.0,43.0,8851,9.0,6
2021,Finance and Insurance,567,193,374,13.63,16546,3.0,1207,4573,4.0,34.0,8851,4.0,8
2021,Government,35,25,10,34.62,16546,0.0,1207,332,8.0,71.0,8851,0.0,14
2021,Health Care and Social Assistance,506,204,302,15.0,16546,3.0,1207,3663,6.0,40.0,8851,3.0,9
2021,Information,288,138,150,4.35,16546,2.0,1207,2177,6.0,48.0,8851,2.0,12
2021,Leisure and Hospitality,912,440,472,24.59,16546,6.0,1207,5350,8.0,48.0,8851,5.0,7
2021,Manufacturing,506,241,265,7.2,16546,3.0,1207,4343,6.0,48.0,8851,3.0,10
2021,Mining and Logging,569,346,223,1.25,16546,3.0,1207,5266,7.0,61.0,8851,3.0,11
2021,Other Services,1572,605,967,25.56,16546,10.0,1207,8281,7.0,38.0,8851,11.0,5
2021,Private Educational Services,212,108,104,27.71,16546,1.0,1207,1607,7.0,51.0,8851,1.0,13
2021,Professional and Business Services,1720,747,973,9.21,16546,10.0,1207,12350,6.0,43.0,8851,11.0,4
2021,Real Estate and Rental and Leasing,2130,613,1517,31.32,16546,13.0,1207,14661,4.0,29.0,8851,17.0,1
2021,"Trade, Transportation, and Utilities",2371,1094,1277,22.41,16546,14.0,1207,13378,8.0,46.0,8851,14.0,3
2021,Unknown Industry,3702,2309,1393,37.88,16546,22.0,1207,15975,14.0,62.0,8851,16.0,2
2022,Construction,1361,510,851,-6.52,16976,8.0,1250,11623,4.0,37.0,8495,10.0,5
2022,Finance and Insurance,683,179,504,20.46,16976,4.0,1250,5077,4.0,26.0,8495,6.0,7
2022,Government,37,11,26,5.71,16976,0.0,1250,358,3.0,30.0,8495,0.0,14
2022,Health Care and Social Assistance,566,188,378,11.86,16976,3.0,1250,4041,5.0,33.0,8495,4.0,9
2022,Information,325,116,209,12.85,16976,2.0,1250,2386,5.0,36.0,8495,2.0,12
2022,Leisure and Hospitality,901,400,501,-1.21,16976,5.0,1250,5851,7.0,44.0,8495,6.0,8
2022,Manufacturing,534,192,342,5.53,16976,3.0,1250,4685,4.0,36.0,8495,4.0,10
2022,Mining and Logging,556,289,267,-2.28,16976,3.0,1250,5533,5.0,52.0,8495,3.0,11
2022,Other Services,1627,583,1044,3.5,16976,10.0,1250,9325,6.0,36.0,8495,12.0,3
2022,Private Educational Services,215,116,99,1.42,16976,1.0,1250,1706,7.0,54.0,8495,1.0,13
2022,Professional and Business Services,1728,699,1029,0.47,16976,10.0,1250,13379,5.0,40.0,8495,12.0,4
2022,Real Estate and Rental and Leasing,2062,607,1455,-3.19,16976,12.0,1250,16116,4.0,29.0,8495,17.0,1
2022,"Trade, Transportation, and Utilities",2071,979,1092,-12.65,16976,12.0,1250,14470,7.0,47.0,8495,13.0,2
2022,Unknown Industry,4310,3612,698,16.42,16976,25.0,1250,16673,22.0,84.0,8495,8.0,6
2023,Construction,1469,674,795,7.94,18047,8.0,1327,12418,5.0,46.0,9370,8.0,6
2023,Finance and Insurance,550,267,283,-19.47,18047,3.0,1327,5360,5.0,49.0,9370,3.0,9
2023,Government,40,18,22,8.11,18047,0.0,1327,380,5.0,45.0,9370,0.0,14
2023,Health Care and Social Assistance,543,267,276,-4.06,18047,3.0,1327,4317,6.0,49.0,9370,3.0,10
2023,Information,306,147,159,-5.85,18047,2.0,1327,2545,6.0,48.0,9370,2.0,13
2023,Leisure and Hospitality,967,423,544,7.33,18047,5.0,1327,6395,7.0,44.0,9370,6.0,7
2023,Manufacturing,547,234,313,2.43,18047,3.0,1327,4998,5.0,43.0,9370,3.0,8
2023,Mining and Logging,574,321,253,3.24,18047,3.0,1327,5786,6.0,56.0,9370,3.0,11
2023,Other Services,1798,810,988,10.51,18047,10.0,1327,10313,8.0,45.0,9370,11.0,4
2023,Private Educational Services,297,110,187,38.14,18047,2.0,1327,1893,6.0,37.0,9370,2.0,12
2023,Professional and Business Services,1888,861,1027,9.26,18047,10.0,1327,14406,6.0,46.0,9370,11.0,3
2023,Real Estate and Rental and Leasing,1984,736,1248,-3.78,18047,11.0,1327,17364,4.0,37.0,9370,13.0,2
2023,"Trade, Transportation, and Utilities",2146,1207,939,3.62,18047,12.0,1327,15409,8.0,56.0,9370,10.0,5
2023,Unknown Industry,4938,2602,2336,14.57,18047,27.0,1327,19009,14.0,53.0,9370,25.0,1
2024,Construction,1458,1009,449,-0.75,18298,8.0,1729,12867,8.0,69.0,6733,7.0,5
2024,Finance and Insurance,454,301,153,-17.45,18298,2.0,1729,5513,5.0,66.0,6733,2.0,9
2024,Government,30,25,5,-25.0,18298,0.0,1729,385,6.0,83.0,6733,0.0,14
2024,Health Care and Social Assistance,491,343,148,-9.58,18298,3.0,1729,4465,8.0,70.0,6733,2.0,10
2024,Information,263,201,62,-14.05,18298,1.0,1729,2607,8.0,76.0,6733,1.0,12
2024,Leisure and Hospitality,859,670,189,-11.17,18298,5.0,1729,6584,10.0,78.0,6733,3.0,8
2024,Manufacturing,442,313,129,-19.2,18298,2.0,1729,5127,6.0,71.0,6733,2.0,11
2024,Mining and Logging,490,437,53,-14.63,18298,3.0,1729,5839,7.0,89.0,6733,1.0,13
2024,Other Services,1806,1071,735,0.44,18298,10.0,1729,11048,10.0,59.0,6733,11.0,2
2024,Private Educational Services,334,144,190,12.46,18298,2.0,1729,2083,7.0,43.0,6733,3.0,7
2024,Professional and Business Services,1793,1128,665,-5.03,18298,10.0,1729,15071,7.0,63.0,6733,10.0,3
2024,Real Estate and Rental and Leasing,1536,988,548,-22.58,18298,8.0,1729,17912,6.0,64.0,6733,8.0,4
2024,"Trade, Transportation, and Utilities",1996,1683,313,-6.99,18298,11.0,1729,15722,11.0,84.0,6733,5.0,6
2024,Unknown Industry,6346,3252,3094,28.51,18298,35.0,1729,22103,15.0,51.0,6733,46.0,1
2025,Construction,1502,166,1336,3.02,19657,8.0,2494,14203,1.0,11.0,17188,8.0,3
2025,Finance and Insurance,333,107,226,-26.65,19657,2.0,2494,5739,2.0,32.0,17188,1.0,11
2025,Government,11,3,8,-63.33,19657,0.0,2494,393,1.0,27.0,17188,0.0,14
2025,Health Care and Social Assistance,504,84,420,2.65,19657,3.0,2494,4885,2.0,17.0,17188,2.0,8
2025,Information,191,50,141,-27.38,19657,1.0,2494,2748,2.0,26.0,17188,1.0,13
2025,Leisure and Hospitality,706,155,551,-17.81,19657,4.0,2494,7135,2.0,22.0,17188,3.0,7
2025,Manufacturing,320,87,233,-27.6,19657,2.0,2494,5360,2.0,27.0,17188,1.0,10
2025,Mining and Logging,323,76,247,-34.08,19657,2.0,2494,6086,1.0,24.0,17188,1.0,9
2025,Other Services,1867,221,1646,3.38,19657,9.0,2494,12694,2.0,12.0,17188,10.0,2
2025,Private Educational Services,252,29,223,-24.55,19657,1.0,2494,2306,1.0,12.0,17188,1.0,12
2025,Professional and Business Services,1602,350,1252,-10.65,19657,8.0,2494,16323,2.0,22.0,17188,7.0,5
2025,Real Estate and Rental and Leasing,1307,289,1018,-14.91,19657,7.0,2494,18930,2.0,22.0,17188,6.0,6
2025,"Trade, Transportation, and Utilities",1697,363,1334,-14.98,19657,9.0,2494,17056,2.0,21.0,17188,8.0,4
2025,Unknown Industry,9042,489,8553,42.48,19657,46.0,2494,30656,2.0,5.0,17188,50.0,1
